ref_cluster,cluster,lipid,lipid_label,beta,std_error,t_value,p_value,n_obs,p_fdr,fdr_significant
0,1,triglycerides_mmol_L_log,log(Triglycerides),3.11460781737122e-05,0.010583692437418385,0.0029428366666812813,0.9976520126910623,11044,0.9976520126910623,False
0,2,triglycerides_mmol_L_log,log(Triglycerides),-0.0016018387826015439,0.010734407552343898,-0.1492247033467419,0.8813790571728719,11044,0.9615044260067694,False
0,1,total_cholesterol_mmol_L,Total Cholesterol,0.07635571281380245,0.021779492581678238,3.505853615618018,0.00045695514261223625,11040,0.001827820570448945,True
0,2,total_cholesterol_mmol_L,Total Cholesterol,0.041097197027934816,0.022093278166305543,1.8601674553942904,0.06288845726678612,11040,0.15093229744028666,False
0,1,hdl_cholesterol_mmol_L_log,log(HDL Cholesterol),0.032329523486057825,0.004750739223658292,6.80515641125058,1.067261957593585e-11,10018,6.40357174556151e-11,True
0,2,hdl_cholesterol_mmol_L_log,log(HDL Cholesterol),0.0010413217133683136,0.004806891287888977,0.21663100973220192,0.8285003366941353,10018,0.9615044260067694,False
0,1,ldl_cholesterol_mmol_L,LDL Cholesterol,0.026086569486811265,0.01657909702586653,1.5734614162708187,0.11564075944883487,11025,0.17346113917325232,False
0,2,ldl_cholesterol_mmol_L,LDL Cholesterol,0.0351269302152708,0.01680980589579778,2.0896689963595625,0.03667044436088795,11025,0.11001133308266385,False
0,1,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.028609344235094175,0.0034361055800907103,8.326095798936105,9.457061594582701e-17,9950,1.1348473913499242e-15,True
0,2,apolipoprotein_a_g_L_log,log(Apolipoprotein A),0.0013474295374018904,0.0034710897508283553,0.3881863144219576,0.6978864808116527,9950,0.9305153077488703,False
0,1,apolipoprotein_b_g_L,Apolipoprotein B,0.007674224347501975,0.004587322277448785,1.6729202535493002,0.09437155151451765,10973,0.16177980259631597,False
0,2,apolipoprotein_b_g_L,Apolipoprotein B,0.008093412360935498,0.004650029903919282,1.7405075941799766,0.08179800806765856,10973,0.16177980259631597,False
