lipid_variable,lipid_label,model_label,r_squared,adj_r_squared,aic,bic,n_obs,n_predictors
triglycerides_mmol_L_log,log(Triglycerides),diet_full,0.2505698245735599,0.24294662138353695,13377.09382212336,14187.26162333934,10925,111
triglycerides_mmol_L_log,log(Triglycerides),diet_lasso_selection,0.25035706922869305,0.2444086200640564,13332.194874565252,13967.1912593021,10925,87
triglycerides_mmol_L_log,log(Triglycerides),diet_pca_15components,0.23281851538322562,0.23056458520440293,13476.850671214444,13717.71136887325,10925,33
total_cholesterol_mmol_L,Total cholesterol,diet_full,0.2509392982928954,0.24331703398320248,29335.00776310046,30145.134916142408,10921,111
total_cholesterol_mmol_L,Total cholesterol,diet_lasso_selection,0.25069322687172557,0.2450239931204321,29282.594795066765,29888.36554914318,10921,83
total_cholesterol_mmol_L,Total cholesterol,diet_pca_15components,0.2402099397860843,0.23797690507568336,29334.327695704163,29575.17630877069,10921,33
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_full,0.45856060287450606,0.45248632100976316,-5131.578451078534,-4332.16700793832,9916,111
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_lasso_selection,0.458233381688659,0.4539375805065624,-5189.587484759442,-4620.636998200191,9916,79
hdl_cholesterol_mmol_L_log,log(HDL cholesterol),diet_pca_15components,0.42926111968015335,0.4274131338286675,-4764.998715124271,-4527.335853650154,9916,33
ldl_cholesterol_mmol_L,LDL cholesterol,diet_full,0.25341569475625036,0.24580807330402143,23350.221703597315,24160.19629327626,10906,111
ldl_cholesterol_mmol_L,LDL cholesterol,diet_lasso_selection,0.2527512459318578,0.2478541939160891,23281.92356326837,23807.312486303363,10906,72
ldl_cholesterol_mmol_L,LDL cholesterol,diet_pca_15components,0.24187957294097273,0.23964837146337792,23361.45107016664,23602.25432655768,10906,33
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_full,0.38960110843362383,0.382704654235565,-11518.837419783074,-10720.201064546569,9847,111
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_lasso_selection,0.3894838585803643,0.3835358498187126,-11546.946118132426,-10856.233594684636,9847,96
apolipoprotein_a_g_L_log,log(Apolipoprotein A),diet_pca_15components,0.35922474961790285,0.35713540704482083,-11196.606954760256,-10959.174524825079,9847,33
apolipoprotein_b_g_L,Apolipoprotein B,diet_full,0.28048438833379685,0.27311710570480296,-4652.298058390807,-3842.8539844276147,10854,111
apolipoprotein_b_g_L,Apolipoprotein B,diet_lasso_selection,0.27577144815033605,0.2732939651234835,-4727.434486091945,-4450.327505816257,10854,38
apolipoprotein_b_g_L,Apolipoprotein B,diet_pca_15components,0.2709252392944501,0.26876921006031484,-4665.046368021547,-4424.400832518976,10854,33
